name:,اسم غذا,محتویات غذا,قیمت,شماره آشپزخانه,اسم عکس غذا,نام پوشه ای که عکس غذا ها در آن قرار دارد
Simple Potato,سیب زمینی ساده  ,سیب زمینی سرخ شده,102000,9125497421,Simple Potato.png,assets/images/pishghaza
Bacon Potato,سیب زمینی بیکن ,سیب زمینی سرخ شده و بیکن با پنیر دیپ چدار ,102000,9125497421,Bacon Potato.png,assets/images/pishghaza
Mushroom Potato,سیب زمینی قارچ ,سیب زمینی سرخ شده با سس قارچ ,102000,9125497421,Mushroom Potato.png,assets/images/pishghaza
Baked Potato,سیب زمینی تنوری ,سیب زمینی تنوری داخل فر با پنیر پیتزا و فلفل دلمه و گوجه فرنگی ,102000,9125497421,Baked Potato.png,assets/images/pishghaza
Special Potato,سیب زمینی ویژه ,سیب زمینی ژامبون ذرت پنیر پیتزا پنیر ورقه‌ای ,102000,9125497421,Special Potato.png,assets/images/pishghaza
Fried Mushroom,قارچ سوخاری ,قارچ سوخاری ,102000,9125497421,Fried Mushroom.png,assets/images/pishghaza
Fried Salad 2 Roll,سالاد سوخاری 2 رول,سوخاری 2 رول کاهو زیتون سبز و سیاه گوجه گیلاسی نون تست سس مخصوص سزار ,102000,9125497421,Fried Salad 2 Roll.png,assets/images/pishghaza
Fried Salad 3 Roll,سالاد سوخاری 3 رول,سوخاری 3 رول کاهو زیتون سبز و سیاه گوجه گیلاسی نان تست سس مخصوص سزار ,102000,9125497421,Fried Salad 3 Roll.png,assets/images/pishghaza
Grilled Salad,سالاد گریل ,مرغ گریل شده کاهو زیتون سبز و سیاه گوجه گیلاسی نان تست سس مخصوص سزار مخصوص سزار,102000,9125497421,Grilled Salad.png,assets/images/pishghaza
Toucan Special Salad,سالاد ویژه توکان ,کاهو فرانسه زیتون سبز و سیاه پنیر کبابی گردو تخمه نان تست سس مخصوص کلم بروکلی گوجه گیلاسی ,102000,9125497421,Toucan Special Salad.png,assets/images/pishghaza
Garlic Bread,نان سیر,نان سیر,102000,9125497421,Garlic Bread.png,assets/images/pishghaza
Picante (Pepperoni),پیکانته ( پپرونی) ,خمیر سس مخصوص پنیر پپرونی ,102000,9125497421,Picante (Pepperoni).png,assets/images/pizza
Garlic & Steak,سیر و استیک,خمیر سس سیر پنیر قارچ گوشت استیک زیتون سیاه ,102000,9125497421,Garlic & Steak.png,assets/images/pizza
Carne (Roast Beef),کارنه (رست بیف),خمیر سس سیر قارچ رست بیف پنیر گوجه ,102000,9125497421,Carne (Roast Beef).png,assets/images/pizza
Mackenzie (Beef & Mushroom),مکنزی (گوشت و قارچ),خمیر سس مخصوص قارچ گوشت فلفل دلمه پنیر ,102000,9125497421,Mackenzie (Beef Mushroom).png,assets/images/pizza
Antonio (Chicken & Spinach),آنتانیو (مرغ اسفناج),خمیر سس آلفردو مرغ قارچ اسفناج پنیر فلفل دلمه زیتون سیاه ,102000,9125497421,Antonio (Chicken & Spinach).png,assets/images/pizza
Special,اسپشیال,خمیر سس مخصوص میکس ژامبون‌ مرغ و بیکن گوجه فلفل دلمه,102000,9125497421,Special.png,assets/images/pizza
Sicilian (Hot Dog),سیسیلی (هات داگ) ,خمیر سس مخصوص هات داگ پنیر قارچ فلفل دلمه زیتون سبز ,102000,9125497421,3.png,assets/images/pizza
Romando (Roast Beef & Chicken),روماندو (رست بیف و مرغ) ,خمیر سس مخصوص رست بیف و مرغ قارچ فلفل دلمه گوجه گیلاسی ,102000,9125497421,2.png,assets/images/pizza
Bacon Spinach,بیکن اسفناج ,خمیر سس مخصوص قارچ بیکن اسفناج پنیر ,102000,9125497421,1.png,assets/images/pizza
